VIN,Year,Model,Trim,Engine,Trans.,Drivetrain,Exterior_Color,Interior_Color,Interior,MSRP,Order_Number
2C3CDZL96PH102073,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$131,341 ",5137
2C3CDZL98PH102074,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,White Knuckle,Black,170 Alcantara Leather Seats,"$119,956 ",5138
2C3CDZL9XPH102075,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Gray,Black,170 Alcantara Leather Seats,"$124,741 ",5139
2C3CDZL91PH102076,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Destroyer Gray,Black,170 Alcantara Leather Seats,"$123,436 ",5140
2C3CDZL93PH102077,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Triple Nickel,Black / Demonic Red,170 Laguna Leather Seats,"$123,436 ",5141
2C3CDZL95PH102078,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,TorRed,Black / Demonic Red,170 Laguna Leather Seats,"$135,036 ",5142
2C3CDZL97PH102079,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black,170 Alcantara Leather Seats,"$120,746 ",5143
2C3CDZL93PH102080,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black,170 Alcantara Leather Seats,"$120,351 ",5144
2C3CDZL95PH102081,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black,170 Alcantara Leather Seats,"$124,046 ",5145
2C3CDZL97PH102082,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,F8 Green,Black,170 Alcantara Leather Seats,"$125,136 ",5146
