VIN,Year,Model,Body,Trim,Engine,Trans.,Drivetrain,Exterior_Color,Interior_Color,Interior,MSRP,Order #,Equipment
2C3CDZFJ5PH502695,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY,392 V8 SRT HEMI,6-Speed Manual TREMEC Transmission,RWD,Frostbite,Black,Alcantara / Nappa Seats with Scat Pack Logo,"$59,810 ",6420,"""{\""Frostbite Exterior Paint\"":\""95\"",\""R/T Scat Pack Widebody MTX - 23N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Harman Kardon\\u00ae Audio Group with Subwoofer\"":\""1795\"",\""Gas Guzzler Tax\"":\""1000\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ7PH502696,2023,CHALLENGER,COUPE,R/T SCAT PACK PLUS,392 V8 SRT HEMI MDS,TorqueFlite 8-Speed Automatic Transmission,RWD,White Knuckle,Black,Alcantara / Nappa Seats with Scat Pack Logo,"$57,600 ",6681,"""{\""Plus Package\"":\""3485\"",\""Harman Kardon\\u00ae Audio Group with Subwoofer\"":\""1795\"",\""TorqueFlite\\u00ae 8-Speed Automatic Transmission\"":\""1595\"",\""Power Sunroof\"":\""1295\"",\""SRT\\u00ae Performance Spoiler\"":\""995\"",\""Uconnect\\u00ae 4C NAV with 8.4-Inch Touch Screen Display\"":\""995\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ9PH502697,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY,392 V8 SRT HEMI MDS,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black,Alcantara / Nappa Seats with Scat Pack Logo,"$63,790 ",6792,"""{\""R/T Scat Pack Widebody ATX - 24N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Technology Group\"":\""695\"",\""Carbon / Suede Interior Package\"":\""1595\"",\""Harman Kardon\\u00ae Audio Group with Subwoofer\"":\""1795\"",\""TorqueFlite\\u00ae 8-Speed Automatic Transmission\"":\""1595\"",\""Scat Pack Bumblebee Stripe\"":\""195\"",\""Uconnect\\u00ae 4C NAV with 8.4-Inch Touch Screen Display\"":\""995\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ5PH502700,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY,392 V8 SRT HEMI MDS,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Ruby Red,Alcantara / Nappa Seats with Scat Pack Logo,"$60,310 ",7747,"""{\""R/T Scat Pack Widebody ATX - 24N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Harman Kardon\\u00ae Audio Group with Subwoofer\"":\""1795\"",\""TorqueFlite\\u00ae 8-Speed Automatic Transmission\"":\""1595\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ7PH502701,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY,392 V8 SRT HEMI MDS,TorqueFlite 8-Speed Automatic Transmission,RWD,Frostbite,Black,Houndstooth Cloth Performance Seat,"$55,125 ",8316,"""{\""Frostbite Exterior Paint\"":\""95\"",\""R/T Scat Pack Widebody ATX - 24N\"":\""5995\"",\""TorqueFlite\\u00ae 8-Speed Automatic Transmission\"":\""1595\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ9PH502702,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY,392 V8 SRT HEMI,6-Speed Manual TREMEC Transmission,RWD,Pitch-Black,Black / Ruby Red,Alcantara / Nappa Seats with Scat Pack Logo,"$62,605 ",8323,"""{\""R/T Scat Pack Widebody MTX - 23N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Carbon / Suede Interior Package\"":\""1595\"",\""Harman Kardon\\u00ae Audio Group with Subwoofer\"":\""1795\"",\""Power Sunroof\"":\""1295\"",\""Gas Guzzler Tax\"":\""1000\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ2PH502704,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY,392 V8 SRT HEMI MDS,TorqueFlite 8-Speed Automatic Transmission,RWD,F8 Green,Black,Alcantara / Nappa Seats with Scat Pack Logo,"$61,400 ",8529,"""{\""F8 Green Exterior Paint\"":\""95\"",\""R/T Scat Pack Widebody ATX - 24N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Harman Kardon\\u00ae Audio Group with Subwoofer\"":\""1795\"",\""TorqueFlite\\u00ae 8-Speed Automatic Transmission\"":\""1595\"",\""Uconnect\\u00ae 4C NAV with 8.4-Inch Touch Screen Display\"":\""995\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ4PH502705,2023,CHALLENGER,COUPE,R/T SCAT PACK,392 V8 SRT HEMI MDS,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black,Houndstooth Cloth Performance Seat,"$49,035 ",9191,"""{\""TorqueFlite\\u00ae 8-Speed Automatic Transmission\"":\""1595\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJ8PH502707,2023,CHALLENGER,COUPE,R/T SCAT PACK W/ DYNAMICS PACKAGE,392 V8 SRT HEMI,6-Speed Manual TREMEC Transmission,RWD,F8 Green,Black,Alcantara / Nappa Seats with Scat Pack Logo,"$56,105 ",9608,"""{\""F8 Green Exterior Paint\"":\""95\"",\""Plus Package\"":\""3485\"",\""Dynamics Package\"":\""3390\"",\""275/40ZR20 P Zero Summer Tires\"":\""695\"",\""Gas Guzzler Tax\"":\""1000\"",\""Destination Charge\"":\""1595\""}"""
2C3CDZFJXPH502708,2023,CHALLENGER,COUPE,R/T SCAT PACK WIDEBODY,392 V8 SRT HEMI MDS,TorqueFlite 8-Speed Automatic Transmission,RWD,F8 Green,Black,Alcantara / Nappa Seats with Scat Pack Logo,"$61,490 ",9619,"""{\""F8 Green Exterior Paint\"":\""95\"",\""R/T Scat Pack Widebody ATX - 24N\"":\""5995\"",\""Plus Package\"":\""3485\"",\""Technology Group\"":\""695\"",\""Alpine\\u00ae Audio Group with Subwoofer\"":\""995\"",\""TorqueFlite\\u00ae 8-Speed Automatic Transmission\"":\""1595\"",\""Scat Pack Bumblebee Stripe\"":\""195\"",\""Uconnect\\u00ae 4C NAV with 8.4-Inch Touch Screen Display\"":\""995\"",\""Destination Charge\"":\""1595\""}"""
