VIN,Year,Model,Trim,Engine,Trans.,Drivetrain,Exterior_Color,Interior_Color,Interior,MSRP,Order_Number,URL
2C3CDZL9XPH103288,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy Pearl,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$160,860",6352,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL9XPH103288
2C3CDZL91PH103289,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$150,075",6353,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL91PH103289
2C3CDZL98PH103290,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,B5 Blue Pearl,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$177,250",6354,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL98PH103290
2C3CDZL9XPH103291,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Plum Crazy Pearl,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$155,265",6355,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL9XPH103291
2C3CDZL91PH103292,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$150,075",6356,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL91PH103292
2C3CDZL93PH103293,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Go Mango,Black interior / Black seats,SRT Demon 170 Alcantara/Leather seats,"$150,075",6357,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL93PH103293
2C3CDZL95PH103294,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch Black,Black interior / Demonic Red seats,SRT Demon 170 Laguna leather seats,"$144,875",6358,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL95PH103294
2C3CDZL97PH103295,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,B5 Blue Pearl,Black interior / Demonic Red seats,SRT Demon 170 Laguna leather seats,"$144,670",6359,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL97PH103295
2C3CDZL99PH103296,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch Black,Black interior / Demonic Red seats,SRT Demon 170 Laguna leather seats,"$144,875",6360,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL99PH103296
2C3CDZL90PH103297,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch Black,Black interior / Demonic Red seats,SRT Demon 170 Laguna leather seats,"$144,875",6361,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL90PH103297
2C3CDZL92PH103298,2023,CHALLENGER,SRT HELLCAT,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch Black,Black interior / Demonic Red seats,SRT Demon 170 Laguna leather seats,"$144,875",6362,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL92PH103298
2C3CDZL98PH103306,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black / Demonic Red,170 Laguna Leather Seats,"$146,531",1161,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL98PH103306
2C3CDZL9XPH103307,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black,170 Alcantara Leather Seats,"$121,346",1162,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL9XPH103307
2C3CDZL91PH103308,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Sublime,Black,170 Alcantara Leather Seats,"$135,431",1163,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL91PH103308
2C3CDZL9XPH103310,2023,CHALLENGER,SRT DEMON 170,6.2L V8 Supercharged HO,TorqueFlite 8-Speed Automatic Transmission,RWD,Pitch-Black,Black,170 Alcantara Leather Seats,"$123,651",1165,https://www.dodge.com/hostd/windowsticker/getWindowStickerPdf.do?vin=2C3CDZL9XPH103310
