Vin,Sequence,Ident,Trim,Drivetrain,Engine Type,,1,,C,6,S,,R,,F,,U,,9,,2,,P,,N,,500367
1C6SRFFM8PN557576,557576,FFM,LONE STAR,4WD,6 Cylinder Turbo,,,,,,,,,,,,,,,,,,,,,,
1C6SRFFMXPN557739,557739,FFM,Big Horn,4WD,6 Cylinder Turbo,,,,,,,,,,,,,,,,,,,,,,
1C6RRFBG3PN558312,558312,FBG,Big Horn,4WD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFBT6PN558366,558366,FBT,BIG HORN,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFBT6PN558366,558366,FBT,BIG HORN,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFU97PN558958,558958,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,,,,,,,,,,,
1C6SRFU98PN558998,558998,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,,,,,,,,,,,
1C6SRFBT5PN560755,560755,FBT,Big Horn Pickup 4D 6 1/3 ft,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFU97PN561374,561374,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,,,,,,,,,,,
1C6SRFFT6PN561892,561892,FFT,BIG HORN/LONE STAR,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFFT3PN564524,564524,FFT,BIG HORN/LONE STAR,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6RREFT5PN565280,565280,EFT,Big Horn,RWD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6RR7LG4PS565761,565761,7LG,SLT,4WD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6RRFFG9PN567266,567266,FFG,BIG HORN/LONE STAR,4WD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFHT3PN570174,570174,FHT,Limited,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFHT6PN570332,570332,FHT,Limited,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
3C6JR6DG2PG571426,571426,6DG,TRADESMAN,RWD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
3C6JR6DG1PG571465,571465,6DG,TRADESMAN,RWD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
3C6JR6DG1PG571465,571465,6DG,TRADESMAN,RWD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
3C6JR6DGXPG571495,571495,6DG,TRADESMAN,RWD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
3C6JR6DG1PG571496,571496,6DG,TRADESMAN,RWD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRECG2PN571546,571546,ECG,TRADESMAN,RWD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
3C6RR7KG9PG572326,572326,7KG,TRADESMAN,4WD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6RRFCG5PN572436,572436,FCG,TRADESMAN,4WD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFU90PN572605,572605,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,,,,,,,,,,,
1C6RRFJG7PN573297,573297,FJG,LARAMIE,4WD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6RR7LG7PS575359,575359,7LG,,4WD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFU93PN575398,575398,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,,,,,,,,,,,
1C6SRFU91PN575433,575433,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,,,,,,,,,,,
1C6SRFU95PN575435,575435,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,,,,,,,,,,,
1C6SRFU95PN575435,575435,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,,,,,,,,,,,
1C6SRFJT7PN575677,575677,FJT,Laramie,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFJTXPN576449,576449,FJT,LARAMIE,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFJT6PN576450,576450,FJT,LARAMIE,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFHT0PN576904,576904,FHT,LIMITED,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFHT0PN576904,576904,FHT,LIMITED,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFRT7PN577529,577529,FRT,Laramie,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6RREFT9PN579568,579568,EFT,BIG HORN,RWD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFU96PN579929,579929,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,,,,,,,,,,,
1C6SRFU96PN579929,579929,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,,,,,,,,,,,
1C6SRFJT6PN580188,580188,FJT,LARAMIE,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6RRFFG6PN583151,583151,FFG,BIG HORN,4WD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFHT3PN583894,583894,FHT,LIMITED,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFHT3PN583894,583894,FHT,LIMITED,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6RRFFG3PN584242,584242,FFG,Big Horn,4WD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFU95PN584958,584958,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,,,,,,,,,,,
1C6SRFU95PN585298,585298,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,,,,,,,,,,,
1C6SRFU95PN585298,585298,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,,,,,,,,,,,
1C6SRFLT5PN587016,587016,FLT,REBEL,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFJT4PN588029,588029,FJT,Laramie,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFFT3PN589584,589584,FFT,BIG HORN/LONE STAR,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFJT8PN589961,589961,FJT,Laramie,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6RRFFG3PN590347,590347,FFG,Big Horn,4WD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6RRFFG5PN590348,590348,FFG,Big Horn,4WD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFBT6PN590881,590881,FBT,BIG HORN,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFBT6PN590881,590881,FBT,BIG HORN,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFMT0PN591442,591442,FMT,BIG HORN,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFU97PN591765,591765,FU9,TRX,4WD,8 Cylinder Super,,,,,,,,,,,,,,,,,,,,,,
1C6SRFHT6PN592282,592282,FHT,LIMITED,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFJT4PN592372,592372,FJT,Laramie,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFBT4PN592497,592497,FBT,BIG HORN,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6RREFT5PN592592,592592,EFT,Big Horn,RWD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFFT5PN594916,594916,FFT,BIG HORN,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFKT8PN595225,595225,FKT,LONGHORN,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFKT8PN595225,595225,FKT,LONGHORN,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6RRFBGXPN596636,596636,FBG,BIG HORN/LONE STAR,4WD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6RRFBG1PN596864,596864,FBG,Big Horn,4WD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFJT8PN597087,597087,FJT,LARAMIE,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFHT3PN598850,598850,FHT,Limited,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFJT1PN599411,599411,FJT,LARAMIE,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFNT7PN599939,599939,FNT,TRADESMAN,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6RRFFG4PN600187,600187,FFG,BIG HORN,4WD,6 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFLT1PN601588,601588,FLT,REBEL,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6SRFLT1PN601588,601588,FLT,REBEL,4WD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
1C6RRECTXPN603672,603672,ECT,Tradesman,RWD,8 Cylinder,,,,,,,,,,,,,,,,,,,,,,
